,date_service_received,open_or_boarded,vacant_or_occupied,vacant_fire,property_used,zipcode,latitude,longitude
80,1/9/2013,Open,Vacant,False,False,60628.0,41.68529355,-87.62512827
81,1/9/2013,Open,Vacant,True,True,60651.0,41.90529354,-87.72516632
82,1/10/2013,Open,Vacant,False,False,60644.0,41.88248737,-87.76326478
83,1/10/2013,Open,Vacant,False,True,60644.0,41.87762942,-87.75006748
84,1/10/2013,Open,Vacant,False,True,60621.0,41.78385028,-87.64729783
85,1/10/2013,Open,Vacant,False,False,60608.0,41.85387637,-87.68568802
86,1/10/2013,Open,Vacant,False,True,60624.0,41.87976169,-87.72563717
87,1/10/2013,Open,Vacant,False,False,60619.0,41.72655719,-87.60837253
88,1/10/2013,Open,Vacant,,True,60651.0,41.89930477,-87.75816683
89,1/10/2013,Open,Vacant,False,False,60629.0,41.77527405,-87.70615426
90,1/10/2013,Open,Vacant,False,False,60647.0,41.91058927,-87.72269456
91,1/10/2013,Open,Vacant,False,False,60618.0,41.95045011,-87.71036922
92,1/10/2013,Open,Vacant,False,False,60636.0,41.76763792,-87.67239165
93,1/10/2013,Open,Vacant,False,True,60636.0,41.77022879999999,-87.67366713
94,1/10/2013,Open,Vacant,True,False,60629.0,41.77518357,-87.71180421
95,1/10/2013,Open,Vacant,False,True,60609.0,41.80208071,-87.68013105
96,1/10/2013,Open,Vacant,False,True,60647.0,41.91177964,-87.71993643
97,1/11/2013,Open,Vacant,False,False,60657.0,41.93652809,-87.65642308
98,1/11/2013,Open,Vacant,False,False,60636.0,41.791787400000004,-87.67302237
99,1/11/2013,Boarded,Vacant,False,False,60612.0,41.88591039,-87.69641673
100,1/11/2013,Boarded,Vacant,False,True,60612.0,41.88587224,-87.69641564
101,1/11/2013,Open,Vacant,False,True,60647.0,41.91632395,-87.71919031
102,1/11/2013,Open,Vacant,False,True,60636.0,41.77699039,-87.66171075
103,1/11/2013,Boarded,Vacant,False,False,60618.0,41.93923808,-87.71558503
104,1/11/2013,Boarded,Vacant,False,False,60651.0,41.904456,-87.74601081
105,1/11/2013,Open,Vacant,True,True,60629.0,41.77495183,-87.68962876
106,1/11/2013,Open,Vacant,False,False,60609.0,41.80207637,-87.68047842
107,1/11/2013,Open,Vacant,True,True,60621.0,41.75923834,-87.63330186
108,1/11/2013,Open,Vacant,False,True,60618.0,41.94018354,-87.71306581
109,1/11/2013,Open,Vacant,False,True,60608.0,41.83214677,-87.67777922
110,1/11/2013,Open,Vacant,False,False,60623.0,41.84135737,-87.72812029
111,1/11/2013,Open,Vacant,False,True,60612.0,41.86739969,-87.68605904
112,1/11/2013,Open,Vacant,False,False,60636.0,41.79356295,-87.67318014
113,1/12/2013,Open,Vacant,False,False,60623.0,41.86516439,-87.73370709
114,1/13/2013,Open,Vacant,False,True,60651.0,41.89912567,-87.72253197
115,1/14/2013,Open,Vacant,False,False,60628.0,41.6880342,-87.62405090000001
116,1/14/2013,Open,Vacant,False,False,60621.0,41.76450469,-87.64803699
117,1/14/2013,Open,Vacant,False,False,60636.0,41.78097947,-87.66547107
118,1/14/2013,Open,Vacant,False,False,60644.0,41.88228618,-87.76325775
119,1/14/2013,Open,Vacant,False,False,60644.0,41.88268828,-87.76327181
120,1/14/2013,Open,Vacant,False,False,60651.0,41.89865461,-87.74841527
121,1/14/2013,Open,Vacant,False,False,60628.0,41.680526799999996,-87.63846375
122,1/14/2013,Open,Vacant,False,False,60827.0,41.65427676,-87.61008868
123,1/14/2013,Open,Vacant,False,False,60619.0,41.76416292,-87.59551054
124,1/14/2013,Open,Vacant,False,False,60636.0,41.77297715,-87.68091115
125,1/14/2013,Open,Vacant,False,False,60629.0,41.79133273,-87.68521134
126,1/14/2013,Open,Vacant,False,False,60644.0,41.87690034,-87.74076009
127,1/14/2013,Open,Vacant,False,False,60624.0,41.88906058,-87.72467963
128,1/14/2013,Open,Vacant,False,False,60628.0,41.68164609,-87.62201013
129,1/14/2013,Open,Vacant,False,False,60637.0,41.78034002,-87.60997436
130,1/14/2013,Open,Vacant,False,False,60644.0,41.88598707,-87.75649279
131,1/14/2013,Open,Vacant,False,False,60651.0,41.89949521,-87.75945785
132,1/14/2013,Open,Vacant,False,False,60651.0,41.90826873,-87.76951065
133,1/14/2013,Open,Vacant,False,False,60644.0,41.86956354,-87.74334408
134,1/14/2013,Open,Vacant,False,False,60644.0,41.86956975,-87.74295118
135,1/14/2013,Open,Vacant,False,False,60628.0,41.67900542,-87.62392390000001
136,1/14/2013,Open,Vacant,False,False,60620.0,41.75176633,-87.65256049
137,1/14/2013,Open,Vacant,False,True,60628.0,41.66031597,-87.63772278
138,1/14/2013,Open,Vacant,False,True,60620.0,41.75336429,-87.64896617
139,1/14/2013,Open,Vacant,False,True,60620.0,41.75221503,-87.64164073
140,1/14/2013,Open,Vacant,False,True,60619.0,41.75260356,-87.60278744
141,1/14/2013,Open,Vacant,False,True,60610.0,41.9096757,-87.64218159
142,1/14/2013,Open,Vacant,False,True,60634.0,41.93318466,-87.78698449
143,1/15/2013,Open,Vacant,False,False,60644.0,41.88394393,-87.74662971
144,1/15/2013,Open,Vacant,False,False,60656.0,41.97451734,-87.80121503
145,1/15/2013,Open,Vacant,False,True,60644.0,41.89118622,-87.75668554
146,1/15/2013,Open,Vacant,False,False,60644.0,41.88971244,-87.75540909
147,1/15/2013,Open,Vacant,False,True,60616.0,41.83235792,-87.62057595
148,1/15/2013,Open,Vacant,False,False,60609.0,41.80454707,-87.65514176
149,1/15/2013,Open,Vacant,False,False,60623.0,41.86530931,-87.73126337
150,1/15/2013,Open,Vacant,False,False,60621.0,41.78799653,-87.64133686
151,1/15/2013,Open,Vacant,False,False,60623.0,41.85335988,-87.72480076
152,1/15/2013,Boarded,Vacant,False,True,60609.0,41.80207698,-87.68043990000001
153,1/15/2013,Open,Vacant,False,True,60624.0,41.87425136,-87.73337054
154,1/15/2013,Open,Vacant,False,True,60624.0,41.87525127,-87.72682187
155,1/15/2013,Open,Vacant,False,,60649.0,41.76408005,-87.56890807
156,1/16/2013,Open,Vacant,False,True,60632.0,41.80828083,-87.69420501
157,1/16/2013,Open,Vacant,False,False,60639.0,41.91309358,-87.76068556
158,1/16/2013,Open,Vacant,False,False,60623.0,41.86523822,-87.73370934
159,1/16/2013,Open,Vacant,False,False,60632.0,41.81144959,-87.69185635
